tournament_key,tournament_id,tournament_name,game_title,region,start_date,end_date,prize_pool_usd,team_count,format,stage,venue,sponsor
1,TOUR0001,Overwatch 2 Open 2023,Overwatch 2,APAC,2023-10-11,2023-10-24,1000000,25,Double Elimination,Grand Final,Seoul Olympic Hall,Secretlab
2,TOUR0002,Rocket League Open 2021,Rocket League,EU,2021-01-21,2021-02-03,25000,9,GSL,Wild Card,ESL One Cologne,Intel
3,TOUR0003,League of Legends Masters 2020,League of Legends,LATAM,2020-07-25,2020-08-05,10000,22,Double Elimination,Playoffs,Online,Intel
4,TOUR0004,Dota 2 Cup 2023,Dota 2,APAC,2023-01-10,2023-01-15,10000,12,Double Elimination,Playoffs,Palacio Vistalegre Madrid,NVIDIA
5,TOUR0005,Fortnite Championship 2021,Fortnite,APAC,2021-04-30,2021-05-06,50000,29,Swiss,Playoffs,Seoul Olympic Hall,ASUS ROG
6,TOUR0006,CS2 Invitational 2023,CS2,ME,2023-07-06,2023-07-18,1000000,25,Round Robin,Grand Final,Online,Monster Energy
7,TOUR0007,Apex Legends Major 2022,Apex Legends,APAC,2022-04-16,2022-04-20,250000,20,Double Elimination,Quarter-Final,Paris La Défense Arena,Logitech
8,TOUR0008,CS2 Open 2022,CS2,APAC,2022-08-06,2022-08-08,1000000,21,Swiss,Playoffs,Coca-Cola Arena Dubai,Logitech
9,TOUR0009,Fortnite Major 2023,Fortnite,LATAM,2023-08-17,2023-08-20,2000000,19,Single Elimination,Group Stage,Seoul Olympic Hall,ASUS ROG
10,TOUR0010,Valorant Open 2020,Valorant,EU,2020-05-29,2020-06-03,100000,23,Round Robin,Quarter-Final,Axiata Arena KL,Intel
11,TOUR0011,League of Legends Invitational 2024,League of Legends,ME,2024-03-09,2024-03-23,2000000,15,Swiss,Wild Card,Seoul Olympic Hall,Logitech
12,TOUR0012,Rocket League Championship 2022,Rocket League,LATAM,2022-02-18,2022-02-27,500000,17,GSL,Semi-Final,Axiata Arena KL,Secretlab
13,TOUR0013,Overwatch 2 Major 2024,Overwatch 2,EU,2024-04-08,2024-04-15,100000,19,Single Elimination,Semi-Final,ESL One Cologne,NVIDIA
14,TOUR0014,CS2 Cup 2020,CS2,LATAM,2020-02-03,2020-02-09,1000000,17,Round Robin,Quarter-Final,Seoul Olympic Hall,Logitech
15,TOUR0015,Dota 2 Open 2022,Dota 2,APAC,2022-10-19,2022-10-29,500000,16,Swiss,Grand Final,Paris La Défense Arena,HyperX
16,TOUR0016,CS2 Major 2024,CS2,NA,2024-01-15,2024-01-25,2000000,13,GSL,Playoffs,Online,Intel
17,TOUR0017,Valorant Open 2024,Valorant,NA,2024-04-14,2024-04-16,1000000,12,Single Elimination,Wild Card,Seoul Olympic Hall,HyperX
18,TOUR0018,Overwatch 2 Masters 2022,Overwatch 2,ME,2022-02-03,2022-02-05,2000000,29,Single Elimination,Grand Final,Online,SteelSeries
19,TOUR0019,Valorant Championship 2020,Valorant,EU,2020-02-04,2020-02-14,250000,25,GSL,Semi-Final,Online,Monster Energy
20,TOUR0020,League of Legends Championship 2022,League of Legends,LATAM,2022-12-09,2022-12-13,100000,14,Round Robin,Playoffs,Palacio Vistalegre Madrid,ASUS ROG
21,TOUR0021,Fortnite Masters 2022,Fortnite,NA,2022-04-11,2022-04-20,100000,30,Single Elimination,Quarter-Final,Palacio Vistalegre Madrid,Intel
22,TOUR0022,Apex Legends Masters 2022,Apex Legends,LATAM,2022-02-11,2022-02-21,2000000,9,Double Elimination,Wild Card,Online,Red Bull
23,TOUR0023,Fortnite Major 2023,Fortnite,NA,2023-03-04,2023-03-07,10000,15,Round Robin,Quarter-Final,Paris La Défense Arena,Intel
24,TOUR0024,Rocket League Major 2023,Rocket League,EU,2023-01-17,2023-01-28,10000,13,Double Elimination,Semi-Final,Online,NVIDIA
25,TOUR0025,Apex Legends Major 2020,Apex Legends,LATAM,2020-06-06,2020-06-12,50000,26,GSL,Quarter-Final,ESL One Cologne,Razer
26,TOUR0026,CS2 Open 2023,CS2,LATAM,2023-11-12,2023-11-25,25000,24,Single Elimination,Wild Card,Axiata Arena KL,Red Bull
27,TOUR0027,League of Legends Open 2021,League of Legends,LATAM,2021-11-28,2021-12-09,1000000,32,Round Robin,Semi-Final,Online,Secretlab
